"","skipmeal","vomit","smallportion","thought_death","restrict","foodrules"
"skipmeal",0,-0.0236088774228758,0.128470999994299,-0.319225677071774,0.388709285303988,0.62734523084998
"vomit",-0.0236088774228758,0,-0.222358422637744,-0.285646851858109,-0.0307294037744889,-0.130269646247838
"smallportion",0.128470999994299,-0.222358422637744,0,0.128335485772338,-0.0375895949717927,-0.0829709147555673
"thought_death",-0.319225677071774,-0.285646851858109,0.128335485772338,0,0.226090467074866,0.0550365273877396
"restrict",0.388709285303988,-0.0307294037744889,-0.0375895949717927,0.226090467074866,0,0.147592156135107
"foodrules",0.62734523084998,-0.130269646247838,-0.0829709147555673,0.0550365273877396,0.147592156135107,0
