"graph","type","node","measure","value"
"graph 1","PCC","shame","Strength",-0.368880367706235
"graph 1","PCC","guilty","Strength",0.628168211944543
"graph 1","PCC","feelfat","Strength",1.32966234201888
"graph 1","PCC","wtshdiss","Strength",0.577647229114987
"graph 1","PCC","ineffective","Strength",-0.981855308227943
"graph 1","PCC","bodydiss","Strength",-1.18474210714423
"graph 1","PDC","shame","InStrength",0.521205806796758
"graph 1","PDC","guilty","InStrength",-1.0391429996408
"graph 1","PDC","feelfat","InStrength",-0.083340930934947
"graph 1","PDC","wtshdiss","InStrength",1.59993436553938
"graph 1","PDC","ineffective","InStrength",-1.03929733474908
"graph 1","PDC","bodydiss","InStrength",0.0406410929886792
"graph 1","PDC","shame","OutStrength",0.359089684137541
"graph 1","PDC","guilty","OutStrength",1.58069561601889
"graph 1","PDC","feelfat","OutStrength",-0.135252010743912
"graph 1","PDC","wtshdiss","OutStrength",-1.36929977407309
"graph 1","PDC","ineffective","OutStrength",-0.656061100842494
"graph 1","PDC","bodydiss","OutStrength",0.220827585503057
