"graph","type","node","measure","value"
"graph 1","PCC","desirethin","Strength",1.89057424943264
"graph 1","PCC","restrict","Strength",0.161875406437382
"graph 1","PCC","sleep","Strength",-0.357212792997266
"graph 1","PCC","feelfat","Strength",-0.895603928214982
"graph 1","PCC","bodydiss","Strength",-0.673779575578186
"graph 1","PCC","wtshdiss","Strength",-0.125853359079586
"graph 1","PDC","desirethin","InStrength",1.1322541583669
"graph 1","PDC","restrict","InStrength",-1.47627048425531
"graph 1","PDC","sleep","InStrength",1.05292066166308
"graph 1","PDC","feelfat","InStrength",0.14789849951278
"graph 1","PDC","bodydiss","InStrength",-0.285128002482394
"graph 1","PDC","wtshdiss","InStrength",-0.571674832805055
"graph 1","PDC","desirethin","OutStrength",0.545925928846591
"graph 1","PDC","restrict","OutStrength",1.3013913096535
"graph 1","PDC","sleep","OutStrength",-1.5607766311129
"graph 1","PDC","feelfat","OutStrength",0.109350870624909
"graph 1","PDC","bodydiss","OutStrength",-0.688862841506815
"graph 1","PDC","wtshdiss","OutStrength",0.292971363494715
