"","fearloc","iuc","urge_restrict","exercise","feelfat","bodydiss"
"fearloc",0,-0.00386599348965144,-0.0743687341481674,-0.0081190872297249,0.112982344863889,0.20901851222637
"iuc",-0.00386599348965144,0,0.0800179378854535,-0.0619191411245588,0.26585629329688,0.202313565529266
"urge_restrict",-0.0743687341481674,0.0800179378854535,0,0.319526617488194,0.118746078599857,0.201086348335242
"exercise",-0.0081190872297249,-0.0619191411245588,0.319526617488194,0,0.0428183549619432,0.182708369719755
"feelfat",0.112982344863889,0.26585629329688,0.118746078599857,0.0428183549619432,0,0.224385130682149
"bodydiss",0.20901851222637,0.202313565529266,0.201086348335242,0.182708369719755,0.224385130682149,0
