"graph","type","node","measure","value"
"graph 1","PCC","bodycheck","Strength",-0.482964815490394
"graph 1","PCC","skipmeal","Strength",0.958916544035224
"graph 1","PCC","stress","Strength",0.614378170047915
"graph 1","PCC","restrict","Strength",0.342747495412048
"graph 1","PCC","agitated","Strength",0.361754458528007
"graph 1","PCC","sleep","Strength",-1.7948318525328
"graph 1","PDC","bodycheck","InStrength",0.502723221055869
"graph 1","PDC","skipmeal","InStrength",1.52243061256778
"graph 1","PDC","stress","InStrength",-0.507013550800896
"graph 1","PDC","restrict","InStrength",0.461479831196282
"graph 1","PDC","agitated","InStrength",-0.990054716639537
"graph 1","PDC","sleep","InStrength",-0.989565397379496
"graph 1","PDC","bodycheck","OutStrength",-0.437948745167796
"graph 1","PDC","skipmeal","OutStrength",0.0655007828999646
"graph 1","PDC","stress","OutStrength",0.309994326602095
"graph 1","PDC","restrict","OutStrength",0.131932658328257
"graph 1","PDC","agitated","OutStrength",1.49627227306025
"graph 1","PDC","sleep","OutStrength",-1.56575129572277
