"","bodycheck","skipmeal","restrict","relax","agitated","sad"
"bodycheck",0.271572117195538,0.169685599746597,0.166352693244809,0.10422520381811,0.164427939184887,0.0842829792946739
"skipmeal",-0.0555081064471726,0.115925161055017,0.192497519173202,-0.137383808089276,-0.0895474327122057,-0.0206795580706313
"restrict",0.0395286169979639,0.0120417899840123,-0.105044336630084,0.0925240121899848,0.0047798653517926,0.0478349753069804
"relax",0.070618327525461,0.0881740900164544,0.0712326851983061,0.280364886455636,0.000522816899357197,0.0244707099032044
"agitated",-0.0281210074021664,-0.0611814098395942,-0.0825605579998351,0.0137167945523906,0.149103758480997,0.00167617544312119
"sad",0.157100122630978,-0.199895684679502,-0.192707108956868,-0.194735005492323,-0.125334298977446,0.356647048931084
