"","bodycheck","skipmeal","restrict","relax","agitated","sad"
"bodycheck",0,-0.140632614221207,-0.0418645544185389,-0.256414646215097,0.801504416396787,-0.588060547397743
"skipmeal",-0.140632614221207,0,0.768210991338933,-0.117224820539417,0.132374888392629,-0.173301211481795
"restrict",-0.0418645544185389,0.768210991338933,0,0.106987385559875,0.239927037898881,-0.147645363563261
"relax",-0.256414646215097,-0.117224820539417,0.106987385559875,0,0.338905138685457,-0.0930535744404109
"agitated",0.801504416396787,0.132374888392629,0.239927037898881,0.338905138685457,0,0.759482845488856
"sad",-0.588060547397743,-0.173301211481795,-0.147645363563261,-0.0930535744404109,0.759482845488856,0
