"","ridthoughts","intrus_thought","compulsion","urge_restrict","feelfat","anxiety"
"ridthoughts",0,0.388779782037015,0.0128301832763906,0.179240681448611,-0.281077043533377,0.281730294169562
"intrus_thought",0.388779782037015,0,0.718753395198123,0.229433687731477,0.0877542187664897,-0.0219086646368714
"compulsion",0.0128301832763906,0.718753395198123,0,-0.185120272137703,0.0905833487754179,-0.255005406666355
"urge_restrict",0.179240681448611,0.229433687731477,-0.185120272137703,0,0.00966928458762375,0.0792568305949607
"feelfat",-0.281077043533377,0.0877542187664897,0.0905833487754179,0.00966928458762375,0,0.187293971220026
"anxiety",0.281730294169562,-0.0219086646368714,-0.255005406666355,0.0792568305949607,0.187293971220026,0
