"","physsens","skipmeal","heartrace","tired","intrus_thought","sad"
"physsens",0,0.0968609171863704,0.26049739043663,0.0794712140302625,0.121518430079199,-0.115127601089197
"skipmeal",0.0968609171863704,0,-0.082650699436858,-0.0148975633379069,0.1076709430117,-0.0359115066071314
"heartrace",0.26049739043663,-0.082650699436858,0,0.164359219977218,0.0384181539591414,-0.0489290688171011
"tired",0.0794712140302625,-0.0148975633379069,0.164359219977218,0,-0.0457964739096962,0.287472138408006
"intrus_thought",0.121518430079199,0.1076709430117,0.0384181539591414,-0.0457964739096962,0,0.156673030031196
"sad",-0.115127601089197,-0.0359115066071314,-0.0489290688171011,0.287472138408006,0.156673030031196,0
