"","fowg","feelfat","bodydiss","sens_body","highstand","wtshdiss"
"fowg",0.250598192937944,0.161996605160045,0.125454139918277,0.0771750770926113,0.230138375545706,0.331660533780108
"feelfat",0.0225853592824243,-0.08843621079054,-0.0187978885532422,-0.0218193601195448,-0.150816359218102,-0.0866901796040739
"bodydiss",0.0528626254653052,0.0157841215622816,0.0963971372584904,-0.0285433214739666,0.0274418210147954,0.312520700182765
"sens_body",0.00635114255840163,-0.061177555700664,-0.0173063982816989,-0.0143833871314159,-0.0538694397869239,0.036992109560822
"highstand",0.27740321123686,0.396620593106436,0.348412110737154,0.209385189762231,0.327423066931294,0.245669772680843
"wtshdiss",0.0598830575122932,-0.16580567438229,-0.145100909357494,0.0183362755004554,0.191054347623218,-0.180554632372622
