"","sleep","urge_restrict","wtshdiss","overvalwtsh","feelfat","bodycheck"
"sleep",0,-0.220819658049822,-0.165361917653513,0.0755340423092154,0.159300387674213,-0.0491755402982271
"urge_restrict",-0.220819658049822,0,0.140856945670925,0.0341069293325887,0.111646810475003,0.162159800287115
"wtshdiss",-0.165361917653513,0.140856945670925,0,0.285681627256382,0.574237473336363,-0.0564553855633631
"overvalwtsh",0.0755340423092154,0.0341069293325887,0.285681627256382,0,0.195864935532919,0.277429899758598
"feelfat",0.159300387674213,0.111646810475003,0.574237473336363,0.195864935532919,0,0.165600125675036
"bodycheck",-0.0491755402982271,0.162159800287115,-0.0564553855633631,0.277429899758598,0.165600125675036,0
