"graph","type","node","measure","value"
"graph 1","PCC","highstand","Strength",0.507357398129603
"graph 1","PCC","reject","Strength",-1.21008423468781
"graph 1","PCC","scared","Strength",-1.31413693606197
"graph 1","PCC","eat_worry","Strength",0.964183510020254
"graph 1","PCC","feelfat","Strength",0.342477383343585
"graph 1","PCC","eat_anx","Strength",0.710202879256338
"graph 1","PDC","highstand","InStrength",-1.21164364981819
"graph 1","PDC","reject","InStrength",-0.79200397540928
"graph 1","PDC","scared","InStrength",-0.329670647829299
"graph 1","PDC","eat_worry","InStrength",0.675880962414411
"graph 1","PDC","feelfat","InStrength",1.52355760718055
"graph 1","PDC","eat_anx","InStrength",0.133879703461814
"graph 1","PDC","highstand","OutStrength",-0.368259601015455
"graph 1","PDC","reject","OutStrength",0.517732530868259
"graph 1","PDC","scared","OutStrength",1.49993928204995
"graph 1","PDC","eat_worry","OutStrength",-0.0908518957722614
"graph 1","PDC","feelfat","OutStrength",-1.52885031703316
"graph 1","PDC","eat_anx","OutStrength",-0.029709999097339
