"","tired","urge_restrict","agitated","stress","relax","physsens_eat"
"tired",0.417987564450852,-0.0546516204218346,-0.0531348748047075,-0.093795564912214,-0.150849256926786,-0.185200982880916
"urge_restrict",0.0362278143881054,0.143032795925376,-0.27749923684279,-0.123678679187527,-0.263144420678642,-0.0560910685401632
"agitated",0.000460297324068264,0.177932153318249,0.247699372761095,0.139551123243184,0.14514975841494,0.143622491366931
"stress",-0.0929905192986973,-0.0522000996671035,-0.105196258298282,0.204420684697993,-0.10482864881862,0.171320432115903
"relax",-0.102560860790761,-0.173874446822571,0.0389535413632526,-0.18653591391505,-0.0149672142870801,-0.139324852508159
"physsens_eat",0.147186987541553,-0.00975704305876709,0.123253082454758,0.076800186702536,0.18969653564575,0.109930500644417
