"","eat_anx","ineffective","physsens","urge_restrict","worthless","ridthoughts"
"eat_anx",0.0330690031827454,-0.0534952820603917,0.109620337677415,0.0345001530826902,-0.192993699341765,-0.106342604660385
"ineffective",-0.0750453071291408,0.631180349752069,-0.200066851800408,0.098963709058995,0.221180633813025,-0.0107927218995592
"physsens",0.0968655682749403,0.0537890158471493,0.237090867482469,0.010415128662002,-0.0122879686196241,0.0555937221470091
"urge_restrict",0.189047172084726,-0.271073448893838,0.315176163084833,-0.111010955760471,0.0995191969599399,0.00806727803952421
"worthless",0.0081999722927947,-0.0645586571112365,0.236317777285519,-0.1530395500162,0.358286294703533,-0.0503713697716697
"ridthoughts",-0.0667693019222585,0.094904450698405,-0.0103372001498214,0.0730288319119104,-0.0510454643927635,0.0875878987938321
