"","eat_anx","laxdiur","si","heartrace","binge","hunger_anx"
"eat_anx",0.0899175791361485,0.0478697028622956,-0.0481112491539347,-0.123212341524901,0.0393585440024846,0.03332758683765
"laxdiur",-0.319576783880401,-0.126767089194944,-0.187214040739839,-0.0804637547400446,-0.2157786987027,-0.180509829314413
"si",-0.104451464344627,-0.0982281418205133,0.429636697465412,0.281573940351633,-0.0190188223104706,-0.0235840757665711
"heartrace",-0.24831025599827,0.0405274406620739,0.20564542045176,0.359274359006766,-0.28609052129378,-0.238738772871508
"binge",-0.12989280230043,-0.191257489112178,-0.0389471136604415,0.0270570648094934,-0.0799410757623285,-0.107226382735748
"hunger_anx",0.277510385023992,0.368597740904677,-0.128424296878851,0.0605082203187804,0.361314511383867,0.0597052396807513
