"graph","type","node","measure","value"
"graph 1","PCC","reject","Strength",0.60117089012954
"graph 1","PCC","saa","Strength",0.26599141506574
"graph 1","PCC","urge_restrict","Strength",-1.16491901054624
"graph 1","PCC","bodydiss","Strength",-1.11784578576941
"graph 1","PCC","foodrules","Strength",0.0152474860423274
"graph 1","PCC","mistakes","Strength",1.40035500507804
"graph 1","PDC","reject","InStrength",0.990431933010699
"graph 1","PDC","saa","InStrength",0.730560542691182
"graph 1","PDC","urge_restrict","InStrength",-1.03811012498535
"graph 1","PDC","bodydiss","InStrength",-1.33453326294421
"graph 1","PDC","foodrules","InStrength",-0.129339218663474
"graph 1","PDC","mistakes","InStrength",0.780990130891148
"graph 1","PDC","reject","OutStrength",0.169879185568203
"graph 1","PDC","saa","OutStrength",-0.178726350025354
"graph 1","PDC","urge_restrict","OutStrength",1.80194180276325
"graph 1","PDC","bodydiss","OutStrength",-1.23005555497082
"graph 1","PDC","foodrules","OutStrength",-0.383157429720153
"graph 1","PDC","mistakes","OutStrength",-0.179881653615117
