"","mistakes","reject","bodydiss","wtshdiss","overvalwtsh","fowg"
"mistakes",0.205801581138792,-0.133521470767612,0.0171618543776231,-0.104470182872699,0.126548092937957,-0.0413885955215631
"reject",-0.10970972870445,0.228186796968736,0.0365534581901365,0.0132330498617331,0.064157806790597,0.00967406364015203
"bodydiss",0.0651982391552157,0.276553241778398,-0.0711847023571124,0.0433044952895805,0.194798175050447,0.0522209397363456
"wtshdiss",0.0832068162224565,0.0171365348128809,0.101800323571795,-0.0110921740231201,-0.0390389743606899,-0.0694685956771291
"overvalwtsh",0.0911093535342504,0.0297843912323476,0.0242720378550904,0.0450315375039204,0.0055099236536928,0.0909815406286863
"fowg",-0.0967243619803511,-0.124517146715173,-0.207216231839959,0.0156576679643662,-0.0996066265916295,0.181917010184509
