"","iuc","highstand","sens_body","mistakes","stress","avoid_emo"
"iuc",0,0.271284049808844,0.256564102477451,0.498592138651451,0.066178601869603,-0.202217330245048
"highstand",0.271284049808844,0,0.0145827144752525,0.324063466041616,-0.398384291137827,0.395459163044844
"sens_body",0.256564102477451,0.0145827144752525,0,0.0673984631227037,-0.126655642380513,-0.00357131092370966
"mistakes",0.498592138651451,0.324063466041616,0.0673984631227037,0,0.425900052095338,-0.127917805766853
"stress",0.066178601869603,-0.398384291137827,-0.126655642380513,0.425900052095338,0,0.25326158970102
"avoid_emo",-0.202217330245048,0.395459163044844,-0.00357131092370966,-0.127917805766853,0.25326158970102,0
