"","tired","urge_restrict","agitated","stress","relax","physsens_eat"
"tired",0,-0.0365742084189236,0.352074397850229,-0.243876591640803,0.252370902599128,-0.170463609824802
"urge_restrict",-0.0365742084189236,0,0.0513160689300804,-0.135881070415159,0.137757189960395,0.16409992104734
"agitated",0.352074397850229,0.0513160689300804,0,0.412484709421025,0.210975391281632,-0.0492571472960228
"stress",-0.243876591640803,-0.135881070415159,0.412484709421025,0,0.472242204464669,-0.0299233067622856
"relax",0.252370902599128,0.137757189960395,0.210975391281632,0.472242204464669,0,0.109957223991629
"physsens_eat",-0.170463609824802,0.16409992104734,-0.0492571472960228,-0.0299233067622856,0.109957223991629,0
