"","skipmeal","sleep","food_intrus","tired","urge_restrict","restrict"
"skipmeal",0.115609447531775,0.108526659237773,-0.0789274014616768,-0.228413619784027,-0.17183689316024,-0.0930734226324762
"sleep",0.00016658707672553,0.67897472335561,-3.29546939266048e-05,0.000314226824409356,0.000114666975103831,6.17367698642149e-05
"food_intrus",-0.086832078563297,0.0064130288429882,0.22772434659047,0.37547359125066,-0.178460814840147,-0.0595602505858076
"tired",-0.183523511444564,0.130112543651481,0.0931713629950899,-0.00366066692202809,0.00796840615416286,0.0449880479313568
"urge_restrict",-0.0648994831038271,0.16419018013877,-0.00731294631457882,0.0971506846748653,-0.0412577311421462,0.173155486411003
"restrict",0.307810869080409,0.0953320038544839,0.274207143270705,-0.413430586102242,0.299588830396081,0.191779487756757
