"","urge_restrict","physsens_eat","exercise","physsens","sens_body","highstand"
"urge_restrict",0.143616616650777,-0.0315868303802373,0.132097368530544,0.348879237933347,0.262394186008297,0.109075091433349
"physsens_eat",-0.212709231890474,0.239560789371504,0.13766431225037,0.00323912226936841,-0.0651573500463198,-0.0139012303327629
"exercise",-0.17312196476892,0.0403924000219091,0.0171743301616582,0.270351474430694,0.42463490849464,0.0851106904791499
"physsens",0.0181853462481121,0.384262748204875,0.180889459186145,0.0153469951119646,-0.0301000943932717,0.172928971491315
"sens_body",-0.0309820398254834,-0.0443711804216716,0.171117334131073,0.283818310725476,0.361331176617676,-0.0503292212601091
"highstand",0.292624790862295,-0.0728522614742616,-0.429982103045773,-0.0893146599621766,-0.256067234272594,0.448572245435937
