"","eat_anx","eat_public","binge","physsens_eat","avoid_sit","skipmeal"
"eat_anx",0,-0.00971046803463449,0.290205052641342,0.345191923816551,-0.110074551293721,-0.250938736788219
"eat_public",-0.00971046803463449,0,-0.148857175452253,0.348752604453847,0.0674212402494341,-0.199121768800152
"binge",0.290205052641342,-0.148857175452253,0,0.245685784792434,0.256717850082399,-0.368939049121647
"physsens_eat",0.345191923816551,0.348752604453847,0.245685784792434,0,0.123401429829988,0.15712977304102
"avoid_sit",-0.110074551293721,0.0674212402494341,0.256717850082399,0.123401429829988,0,0.0495504209361753
"skipmeal",-0.250938736788219,-0.199121768800152,-0.368939049121647,0.15712977304102,0.0495504209361753,0
